# Matter power spectra at z=3.960000.
# D(z)=0.258083, f(z)=0.988750.
#      k[h/Mpc]         Plin(k)         HaloFit
    1.00000e-04     2.96033e+01     2.96033e+01
    1.04729e-04     3.09597e+01     3.09597e+01
    1.09682e-04     3.23781e+01     3.23781e+01
    1.14868e-04     3.38615e+01     3.38615e+01
    1.20301e-04     3.54129e+01     3.54129e+01
    1.25990e-04     3.70353e+01     3.70354e+01
    1.31948e-04     3.87319e+01     3.87319e+01
    1.38187e-04     4.05059e+01     4.05058e+01
    1.44722e-04     4.23611e+01     4.23610e+01
    1.51566e-04     4.43013e+01     4.43011e+01
    1.58734e-04     4.63302e+01     4.63300e+01
    1.66240e-04     4.84517e+01     4.84514e+01
    1.74102e-04     5.06699e+01     5.06696e+01
    1.82335e-04     5.29896e+01     5.29892e+01
    1.90957e-04     5.54153e+01     5.54150e+01
    1.99988e-04     5.79518e+01     5.79515e+01
    2.09445e-04     6.06038e+01     6.06035e+01
    2.19350e-04     6.33766e+01     6.33761e+01
    2.29723e-04     6.62758e+01     6.62753e+01
    2.40586e-04     6.93073e+01     6.93068e+01
    2.51964e-04     7.24769e+01     7.24763e+01
    2.63879e-04     7.57904e+01     7.57898e+01
    2.76358e-04     7.92542e+01     7.92536e+01
    2.89427e-04     8.28756e+01     8.28748e+01
    3.03114e-04     8.66615e+01     8.66607e+01
    3.17448e-04     9.06193e+01     9.06184e+01
    3.32460e-04     9.47559e+01     9.47549e+01
    3.48182e-04     9.90794e+01     9.90783e+01
    3.64647e-04     1.03598e+02     1.03597e+02
    3.81891e-04     1.08322e+02     1.08320e+02
    3.99951e-04     1.13258e+02     1.13256e+02
    4.18865e-04     1.18415e+02     1.18414e+02
    4.38673e-04     1.23805e+02     1.23803e+02
    4.59417e-04     1.29435e+02     1.29433e+02
    4.81143e-04     1.35318e+02     1.35316e+02
    5.03896e-04     1.41464e+02     1.41461e+02
    5.27725e-04     1.47882e+02     1.47880e+02
    5.52681e-04     1.54586e+02     1.54583e+02
    5.78818e-04     1.61586e+02     1.61583e+02
    6.06190e-04     1.68895e+02     1.68892e+02
    6.34857e-04     1.76526e+02     1.76523e+02
    6.64879e-04     1.84491e+02     1.84487e+02
    6.96321e-04     1.92803e+02     1.92799e+02
    7.29250e-04     2.01476e+02     2.01472e+02
    7.63736e-04     2.10525e+02     2.10520e+02
    7.99853e-04     2.19964e+02     2.19958e+02
    8.37678e-04     2.29806e+02     2.29800e+02
    8.77291e-04     2.40066e+02     2.40060e+02
    9.18778e-04     2.50761e+02     2.50754e+02
    9.62227e-04     2.61906e+02     2.61898e+02
    1.00773e-03     2.73516e+02     2.73507e+02
    1.05539e-03     2.85607e+02     2.85597e+02
    1.10530e-03     2.98195e+02     2.98185e+02
    1.15756e-03     3.11296e+02     3.11285e+02
    1.21231e-03     3.24927e+02     3.24914e+02
    1.26964e-03     3.39103e+02     3.39089e+02
    1.32968e-03     3.53840e+02     3.53825e+02
    1.39256e-03     3.69156e+02     3.69140e+02
